Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",22104260,99931712,64,27,1,32,19,1,21,0,0,136.009,0.829,82.002
"matrixMulKernel(matrix, matrix, matrix)",125392632,97646141,64,64,1,32,8,1,21,0,0,136.009,0.958,82.002
"matrixMulKernel(matrix, matrix, matrix)",225635110,97010951,64,85,1,32,6,1,21,0,0,136.009,0.795,82.002
"matrixMulKernel(matrix, matrix, matrix)",325243295,228731004,64,509,1,32,1,1,21,0,0,136.009,0.828,82.002
"matrixMulKernel(matrix, matrix, matrix)",556607532,99927891,64,27,1,32,19,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",659126256,99354173,64,26,1,32,20,1,21,0,0,136.009,0.5,82.002
"matrixMulKernel(matrix, matrix, matrix)",761052383,94616083,64,21,1,32,25,1,21,0,0,136.009,0.93,82.002
"matrixMulKernel(matrix, matrix, matrix)",858293154,229098518,64,509,1,32,1,1,21,0,0,136.009,0.68,82.002
"matrixMulKernel(matrix, matrix, matrix)",1090337251,97612125,64,64,1,32,8,1,21,0,0,136.009,0.795,82.002
"matrixMulKernel(matrix, matrix, matrix)",1190589008,99548730,64,17,1,32,30,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",1292789850,94141756,64,20,1,32,26,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",1389586406,103774189,64,25,1,32,21,1,21,0,0,136.009,0.707,82.002
"matrixMulKernel(matrix, matrix, matrix)",1495962308,98650442,64,102,1,32,5,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",1597207424,96722349,64,19,1,32,28,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",1696673979,93309963,64,30,1,32,17,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",1792669685,98233298,64,51,1,32,10,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",1893520727,95786782,64,23,1,32,23,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",1991931494,92569848,64,40,1,32,13,1,21,0,0,136.009,0.952,82.002
"matrixMulKernel(matrix, matrix, matrix)",2087147790,97852888,64,51,1,32,10,1,21,0,0,136.009,0.869,82.002
"matrixMulKernel(matrix, matrix, matrix)",2187574040,121058805,64,255,1,32,2,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",2311217311,92630359,64,40,1,32,13,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",2406483494,97481439,64,73,1,32,7,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",2506614421,105070230,64,17,1,32,31,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",2614259325,93300299,64,30,1,32,17,1,21,0,0,136.009,0.933,82.002
"matrixMulKernel(matrix, matrix, matrix)",2710126777,99570682,64,17,1,32,30,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",2812300676,102596931,64,16,1,32,32,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",2917490872,92456890,64,40,1,32,13,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",3012536451,97943095,64,57,1,32,9,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",3113084907,97920375,64,51,1,32,10,1,21,0,0,136.009,0.706,82.002
"matrixMulKernel(matrix, matrix, matrix)",3213591347,98144148,64,19,1,32,27,1,21,0,0,136.009,0.93,82.002
"matrixMulKernel(matrix, matrix, matrix)",3314489749,98130771,64,19,1,32,27,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",3415244697,100452906,64,128,1,32,4,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",3518357971,121395183,64,255,1,32,2,1,21,0,0,136.009,0.74,82.002
"matrixMulKernel(matrix, matrix, matrix)",3642339155,93320587,64,30,1,32,17,1,21,0,0,136.009,0.92,82.002
"matrixMulKernel(matrix, matrix, matrix)",3738271374,121236595,64,255,1,32,2,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",3862098098,93677924,64,170,1,32,3,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",3958414182,102475461,64,16,1,32,32,1,21,0,0,136.009,0.935,82.002
"matrixMulKernel(matrix, matrix, matrix)",4063508764,99625336,64,17,1,32,30,1,21,0,0,136.009,0.68,82.002
"matrixMulKernel(matrix, matrix, matrix)",4165729317,96955017,64,85,1,32,6,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",4265268479,97545823,64,73,1,32,7,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",4365420238,100511561,64,128,1,32,4,1,21,0,0,136.009,0.25,82.006
"matrixMulKernel(matrix, matrix, matrix)",4468655430,96780652,64,19,1,32,28,1,21,0,0,136.009,0.25,82.006
"matrixMulKernel(matrix, matrix, matrix)",4568208096,228625950,64,509,1,32,1,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",4799503630,92577592,64,40,1,32,13,1,21,0,0,136.009,0.935,82.002
"matrixMulKernel(matrix, matrix, matrix)",4894736662,102796415,64,16,1,32,32,1,21,0,0,136.009,0.975,82.002
"matrixMulKernel(matrix, matrix, matrix)",5000129702,94186459,64,20,1,32,26,1,21,0,0,136.009,0.992,82.002
"matrixMulKernel(matrix, matrix, matrix)",5096912082,102054252,64,32,1,32,16,1,21,0,0,136.009,0.925,82.002
