dimension, 678, 591
Result (x y micro-second), 5, 29, 42187
Result (x y micro-second), 47, 1, 1602
Result (x y micro-second), 64, 32, 1035
Result (x y micro-second), 5, 32, 1606
Result (x y micro-second), 5, 5, 1811
Result (x y micro-second), 32, 5, 1454
Result (x y micro-second), 29, 11, 1520
Result (x y micro-second), 32, 5, 1475
Result (x y micro-second), 11, 13, 1551
Result (x y micro-second), 11, 32, 1532
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 32, 1, 1617
Result (x y micro-second), 47, 29, 1019
Result (x y micro-second), 11, 7, 1557
Result (x y micro-second), 47, 32, 1004
Result (x y micro-second), 29, 32, 1542
Result (x y micro-second), 11, 16, 1546
Result (x y micro-second), 47, 7, 1483
Result (x y micro-second), 1, 64, 2280
Result (x y micro-second), 64, 7, 1508
Result (x y micro-second), 47, 16, 1529
Result (x y micro-second), 11, 23, 1543
Result (x y micro-second), 29, 47, 995
Result (x y micro-second), 29, 64, 1013
Result (x y micro-second), 1, 32, 2386
Result (x y micro-second), 16, 29, 1517
Result (x y micro-second), 32, 11, 1488
Result (x y micro-second), 29, 23, 1520
Result (x y micro-second), 64, 32, 1007
Result (x y micro-second), 32, 23, 1513
Result (x y micro-second), 23, 7, 1495
Result (x y micro-second), 5, 29, 1618
Result (x y micro-second), 23, 64, 1001
Result (x y micro-second), 47, 23, 1012
Result (x y micro-second), 32, 47, 1012
Result (x y micro-second), 32, 23, 1533
Result (x y micro-second), 5, 1, 2801
Result (x y micro-second), 5, 32, 1590
Result (x y micro-second), 32, 29, 1478
Result (x y micro-second), 16, 32, 1489
Result (x y micro-second), 7, 1, 2395
Result (x y micro-second), 13, 64, 1572
Result (x y micro-second), 5, 64, 1603
Result (x y micro-second), 16, 47, 1542
Result (x y micro-second), 16, 1, 1844
Result (x y micro-second), 7, 47, 1591
Result (x y micro-second), 11, 11, 1547
Result (x y micro-second), 16, 47, 1571
Result (x y micro-second), 11, 13, 1541
Result (x y micro-second), 7, 47, 1623
Result (x y micro-second), 1, 1, 8312
Result (x y micro-second), 13, 5, 1554
Result (x y micro-second), 47, 13, 1527
Result (x y micro-second), 32, 23, 1534
Result (x y micro-second), 47, 1, 1583
Result (x y micro-second), 7, 1, 2394
Result (x y micro-second), 1, 23, 2420
Result (x y micro-second), 47, 64, 1014
Result (x y micro-second), 11, 5, 1563
Result (x y micro-second), 32, 47, 1014
Result (x y micro-second), 7, 64, 1594
Result (x y micro-second), 29, 11, 1485
Result (x y micro-second), 5, 1, 2783
Result (x y micro-second), 64, 7, 1498
Result (x y micro-second), 13, 5, 1572
Result (x y micro-second), 1, 13, 2567
Result (x y micro-second), 64, 7, 1467
Result (x y micro-second), 11, 47, 1592
Result (x y micro-second), 13, 47, 1559
Result (x y micro-second), 7, 7, 1635
Result (x y micro-second), 64, 13, 1496
Result (x y micro-second), 5, 32, 1612
Result (x y micro-second), 47, 64, 1010
Result (x y micro-second), 32, 5, 1446
Result (x y micro-second), 47, 11, 1509
Result (x y micro-second), 32, 1, 1606
Result (x y micro-second), 5, 11, 1642
Result (x y micro-second), 5, 7, 1781
Result (x y micro-second), 11, 1, 2007
Result (x y micro-second), 13, 16, 1498
Result (x y micro-second), 1, 7, 2851
Result (x y micro-second), 29, 64, 1024
Result (x y micro-second), 13, 64, 1577
Result (x y micro-second), 32, 47, 1004
Result (x y micro-second), 29, 47, 1011
Result (x y micro-second), 47, 23, 1013
Result (x y micro-second), 7, 32, 1591
Result (x y micro-second), 5, 1, 2798
Result (x y micro-second), 29, 47, 1011
Result (x y micro-second), 1, 13, 2540
Result (x y micro-second), 1, 23, 2420
Result (x y micro-second), 13, 5, 1576
Result (x y micro-second), 29, 13, 1497
Result (x y micro-second), 5, 64, 1639
Result (x y micro-second), 13, 11, 1510
Result (x y micro-second), 7, 13, 1573
Result (x y micro-second), 11, 47, 1622
Result (x y micro-second), 7, 29, 1597
Result (x y micro-second), 47, 64, 1022
Result (x y micro-second), 11, 11, 1541
Result (x y micro-second), 23, 1, 1695
