Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",120169469,648928,,,,,,,,,,2078756,3203369248
"Memcpy HtoD [sync]",121359549,3008512,,,,,,,,,,8327276,2767905196
"matrixMulKernel(matrix, matrix, matrix)",126565277,55862880,340,13,1,6,41,1,21,0,0,,
"Memcpy DtoH [sync]",182594269,2979168,,,,,,,,,,4151404,1393477642
"Memcpy HtoD [sync]",188478879,790414,,,,,,,,,,2078756,2629958477
"Memcpy HtoD [sync]",189679412,3375453,,,,,,,,,,8327276,2467009909
"matrixMulKernel(matrix, matrix, matrix)",193275797,35122524,120,18,1,17,29,1,21,0,0,,
"Memcpy DtoH [sync]",228449905,1896547,,,,,,,,,,4151404,2188927561
"Memcpy HtoD [sync]",232181525,684300,,,,,,,,,,2078756,3037784597
"Memcpy HtoD [sync]",233325098,2699632,,,,,,,,,,8327276,3084596715
"matrixMulKernel(matrix, matrix, matrix)",236298271,33614240,76,47,1,27,11,1,21,0,0,,
"Memcpy DtoH [sync]",270169092,1805505,,,,,,,,,,4151404,2299303518
"Memcpy HtoD [sync]",274421553,688236,,,,,,,,,,2078756,3020411602
"Memcpy HtoD [sync]",275632551,3586273,,,,,,,,,,8327276,2321986084
"matrixMulKernel(matrix, matrix, matrix)",279320362,134879015,1020,15,1,2,35,1,21,0,0,,
"Memcpy DtoH [sync]",414269650,1907555,,,,,,,,,,4151404,2176295834
"Memcpy HtoD [sync]",418776676,811183,,,,,,,,,,2078756,2562622737
"Memcpy HtoD [sync]",420110140,3698691,,,,,,,,,,8327276,2251411648
"matrixMulKernel(matrix, matrix, matrix)",424049827,33195545,53,24,1,39,22,1,21,0,0,,
"Memcpy DtoH [sync]",457300893,1805728,,,,,,,,,,4151404,2299019564
"Memcpy HtoD [sync]",461098657,679629,,,,,,,,,,2078756,3058662888
"Memcpy HtoD [sync]",462329688,3559328,,,,,,,,,,8327276,2339564097
"matrixMulKernel(matrix, matrix, matrix)",466177181,33864165,76,21,1,27,25,1,21,0,0,,
"Memcpy DtoH [sync]",500359784,1905410,,,,,,,,,,4151404,2178745781
"Memcpy HtoD [sync]",504434257,718925,,,,,,,,,,2078756,2891478248
"Memcpy HtoD [sync]",505654855,3946280,,,,,,,,,,8327276,2110158427
"matrixMulKernel(matrix, matrix, matrix)",509955285,33065334,89,16,1,23,32,1,21,0,0,,
"Memcpy DtoH [sync]",543185550,1865570,,,,,,,,,,4151404,2225273776
"Memcpy HtoD [sync]",546790671,680557,,,,,,,,,,2078756,3054492129
"Memcpy HtoD [sync]",547922308,3742276,,,,,,,,,,8327276,2225190231
"matrixMulKernel(matrix, matrix, matrix)",551885804,29437332,43,73,1,48,7,1,21,0,0,,
"Memcpy DtoH [sync]",581366913,1376345,,,,,,,,,,4151404,3016252465
"Memcpy HtoD [sync]",585022723,523817,,,,,,,,,,2078756,3968477540
"Memcpy HtoD [sync]",586051925,3223931,,,,,,,,,,8327276,2582957265
"matrixMulKernel(matrix, matrix, matrix)",589488468,33492893,93,15,1,22,35,1,21,0,0,,
"Memcpy DtoH [sync]",623032626,1606269,,,,,,,,,,4151404,2584501101
"Memcpy HtoD [sync]",626704853,698060,,,,,,,,,,2078756,2977904478
"Memcpy HtoD [sync]",627866122,3663522,,,,,,,,,,8327276,2273024701
