dimension, 2039, 2039
Result (x y micro-second), 17, 18, 239360
Result (x y micro-second), 24, 26, 21687
Result (x y micro-second), 4, 44, 21894
Result (x y micro-second), 4, 4, 22752
Result (x y micro-second), 20, 20, 21567
Result (x y micro-second), 10, 43, 21655
Result (x y micro-second), 50, 11, 21523
Result (x y micro-second), 33, 24, 21607
Result (x y micro-second), 49, 7, 21674
Result (x y micro-second), 25, 23, 21542
Result (x y micro-second), 42, 2, 21601
Result (x y micro-second), 21, 41, 21596
Result (x y micro-second), 58, 12, 21577
Result (x y micro-second), 55, 2, 21596
Result (x y micro-second), 1, 20, 23767
Result (x y micro-second), 39, 2, 21525
Result (x y micro-second), 12, 31, 21551
Result (x y micro-second), 16, 8, 21489
Result (x y micro-second), 14, 57, 21683
Result (x y micro-second), 15, 26, 21607
Result (x y micro-second), 57, 13, 22144
Result (x y micro-second), 15, 22, 21943
Result (x y micro-second), 2, 7, 23387
Result (x y micro-second), 8, 40, 21566
Result (x y micro-second), 6, 45, 21724
Result (x y micro-second), 9, 21, 21592
Result (x y micro-second), 20, 2, 21862
Result (x y micro-second), 19, 24, 21581
Result (x y micro-second), 9, 34, 21632
Result (x y micro-second), 49, 1, 21767
Result (x y micro-second), 46, 7, 21498
Result (x y micro-second), 2, 5, 23768
Result (x y micro-second), 25, 9, 21528
Result (x y micro-second), 44, 23, 21569
Result (x y micro-second), 4, 36, 21850
Result (x y micro-second), 5, 55, 21798
Result (x y micro-second), 12, 24, 21536
Result (x y micro-second), 1, 48, 24396
Result (x y micro-second), 7, 19, 21658
Result (x y micro-second), 8, 15, 21675
Result (x y micro-second), 15, 34, 21544
Result (x y micro-second), 29, 26, 21629
Result (x y micro-second), 30, 7, 21493
Result (x y micro-second), 39, 10, 21555
Result (x y micro-second), 29, 2, 21608
Result (x y micro-second), 22, 14, 21543
Result (x y micro-second), 28, 22, 21535
Result (x y micro-second), 41, 5, 21471
Result (x y micro-second), 19, 42, 21661
Result (x y micro-second), 57, 12, 21675
Result (x y micro-second), 44, 4, 21513
Result (x y micro-second), 49, 2, 21529
Result (x y micro-second), 52, 6, 21507
Result (x y micro-second), 15, 15, 21551
Result (x y micro-second), 28, 12, 21512
Result (x y micro-second), 48, 4, 21505
Result (x y micro-second), 16, 31, 21508
Result (x y micro-second), 31, 12, 21491
Result (x y micro-second), 28, 28, 21607
Result (x y micro-second), 5, 23, 21803
Result (x y micro-second), 6, 47, 21694
Result (x y micro-second), 9, 63, 21658
Result (x y micro-second), 45, 1, 21802
Result (x y micro-second), 1, 28, 23646
Result (x y micro-second), 4, 16, 21891
Result (x y micro-second), 27, 21, 21537
Result (x y micro-second), 26, 37, 21582
Result (x y micro-second), 13, 41, 21628
Result (x y micro-second), 9, 31, 21666
Result (x y micro-second), 22, 46, 21671
Result (x y micro-second), 19, 2, 21888
Result (x y micro-second), 47, 19, 21562
Result (x y micro-second), 35, 22, 21622
Result (x y micro-second), 42, 17, 21594
Result (x y micro-second), 28, 21, 21582
Result (x y micro-second), 2, 16, 22580
Result (x y micro-second), 10, 25, 21617
Result (x y micro-second), 3, 2, 25013
Result (x y micro-second), 44, 15, 21540
Result (x y micro-second), 6, 50, 21749
Result (x y micro-second), 2, 27, 22636
Result (x y micro-second), 32, 20, 21508
Result (x y micro-second), 28, 14, 21532
Result (x y micro-second), 63, 9, 21537
Result (x y micro-second), 13, 19, 21676
Result (x y micro-second), 5, 54, 21784
Result (x y micro-second), 11, 37, 22310
Result (x y micro-second), 48, 10, 23096
Result (x y micro-second), 2, 57, 22840
Result (x y micro-second), 34, 4, 21755
Result (x y micro-second), 59, 13, 21829
Result (x y micro-second), 18, 36, 21786
Result (x y micro-second), 4, 12, 22245
Result (x y micro-second), 2, 42, 22640
Result (x y micro-second), 3, 64, 22382
Result (x y micro-second), 50, 15, 21824
Result (x y micro-second), 18, 55, 22188
Result (x y micro-second), 5, 53, 21997
Result (x y micro-second), 22, 15, 21588
Result (x y micro-second), 25, 5, 21556
Result (x y micro-second), 24, 26, 21532
Result (x y micro-second), 5, 47, 21804
Result (x y micro-second), 6, 48, 21699
Result (x y micro-second), 2, 37, 22418
Result (x y micro-second), 17, 4, 21631
Result (x y micro-second), 37, 2, 21590
Result (x y micro-second), 42, 14, 21576
Result (x y micro-second), 37, 2, 21550
Result (x y micro-second), 28, 15, 21547
Result (x y micro-second), 6, 56, 21689
Result (x y micro-second), 16, 14, 21541
Result (x y micro-second), 24, 4, 21532
Result (x y micro-second), 6, 56, 21729
Result (x y micro-second), 14, 27, 21565
Result (x y micro-second), 10, 50, 21617
Result (x y micro-second), 29, 28, 21616
Result (x y micro-second), 23, 22, 21515
Result (x y micro-second), 16, 1, 22539
Result (x y micro-second), 2, 31, 22512
Result (x y micro-second), 14, 35, 21604
Result (x y micro-second), 18, 2, 21834
Result (x y micro-second), 5, 42, 21788
Result (x y micro-second), 5, 42, 21782
Result (x y micro-second), 37, 10, 21493
Result (x y micro-second), 34, 22, 21604
Result (x y micro-second), 7, 47, 21660
Result (x y micro-second), 49, 16, 21635
Result (x y micro-second), 33, 13, 21509
Result (x y micro-second), 43, 13, 21529
Result (x y micro-second), 4, 21, 21869
Result (x y micro-second), 4, 3, 23277
Result (x y micro-second), 8, 19, 21589
Result (x y micro-second), 4, 9, 22309
Result (x y micro-second), 49, 17, 21580
Result (x y micro-second), 43, 3, 21518
Result (x y micro-second), 18, 47, 21624
Result (x y micro-second), 44, 23, 21546
Result (x y micro-second), 25, 16, 21589
Result (x y micro-second), 40, 22, 21568
Result (x y micro-second), 54, 8, 21495
Result (x y micro-second), 21, 37, 21671
Result (x y micro-second), 52, 1, 21626
Result (x y micro-second), 3, 30, 22099
Result (x y micro-second), 9, 6, 21710
Result (x y micro-second), 23, 17, 22328
Result (x y micro-second), 17, 27, 21652
Result (x y micro-second), 3, 56, 22229
Result (x y micro-second), 24, 20, 21500
Result (x y micro-second), 53, 11, 22865
Result (x y micro-second), 20, 11, 22003
Result (x y micro-second), 2, 22, 23055
Result (x y micro-second), 41, 10, 21623
Result (x y micro-second), 28, 15, 21728
Result (x y micro-second), 3, 50, 22354
Result (x y micro-second), 25, 30, 21660
Result (x y micro-second), 36, 23, 21647
Result (x y micro-second), 52, 5, 21518
Result (x y micro-second), 52, 5, 21489
Result (x y micro-second), 15, 41, 21986
Result (x y micro-second), 15, 34, 21555
Result (x y micro-second), 51, 16, 21572
Result (x y micro-second), 26, 18, 21584
Result (x y micro-second), 3, 8, 22486
Result (x y micro-second), 26, 28, 21628
Result (x y micro-second), 22, 37, 21660
Result (x y micro-second), 30, 10, 21676
Result (x y micro-second), 26, 26, 21632
Result (x y micro-second), 45, 7, 21503
Result (x y micro-second), 21, 32, 21521
Result (x y micro-second), 11, 35, 21620
Result (x y micro-second), 8, 26, 21614
Result (x y micro-second), 4, 59, 21817
Result (x y micro-second), 21, 2, 21721
Result (x y micro-second), 12, 62, 21691
Result (x y micro-second), 30, 15, 21533
Result (x y micro-second), 5, 55, 21801
Result (x y micro-second), 2, 9, 22944
Result (x y micro-second), 18, 24, 21533
Result (x y micro-second), 31, 14, 21540
Result (x y micro-second), 2, 52, 22425
Result (x y micro-second), 48, 9, 21504
Result (x y micro-second), 7, 52, 21696
Result (x y micro-second), 10, 30, 21594
Result (x y micro-second), 58, 8, 21536
Result (x y micro-second), 61, 11, 21568
Result (x y micro-second), 8, 62, 21637
Result (x y micro-second), 3, 36, 22267
Result (x y micro-second), 8, 40, 21602
Result (x y micro-second), 18, 18, 21556
Result (x y micro-second), 11, 8, 21555
Result (x y micro-second), 6, 17, 21714
Result (x y micro-second), 60, 4, 21483
Result (x y micro-second), 1, 24, 23753
Result (x y micro-second), 53, 10, 21534
Result (x y micro-second), 18, 50, 21645
Result (x y micro-second), 35, 19, 21497
Result (x y micro-second), 16, 11, 21500
Result (x y micro-second), 16, 40, 21532
Result (x y micro-second), 8, 26, 21564
Result (x y micro-second), 47, 13, 21635
Result (x y micro-second), 16, 43, 21592
Result (x y micro-second), 1, 5, 26393
Result (x y micro-second), 50, 5, 21481
Result (x y micro-second), 53, 13, 21663
Result (x y micro-second), 53, 10, 21551
Result (x y micro-second), 53, 14, 21575
Result (x y micro-second), 12, 3, 21876
Result (x y micro-second), 12, 31, 21546
Result (x y micro-second), 2, 27, 22639
Result (x y micro-second), 9, 2, 22435
Result (x y micro-second), 55, 17, 21585
Result (x y micro-second), 1, 29, 23725
Result (x y micro-second), 23, 29, 21557
Result (x y micro-second), 43, 11, 21506
Result (x y micro-second), 17, 9, 21600
Result (x y micro-second), 48, 6, 21525
Result (x y micro-second), 21, 45, 21617
Result (x y micro-second), 4, 41, 21919
Result (x y micro-second), 30, 30, 21603
Result (x y micro-second), 59, 7, 21704
Result (x y micro-second), 26, 3, 21556
Result (x y micro-second), 11, 22, 21794
Result (x y micro-second), 16, 19, 21254
Result (x y micro-second), 11, 37, 21298
Result (x y micro-second), 24, 39, 21283
Result (x y micro-second), 6, 27, 21459
Result (x y micro-second), 16, 59, 21292
Result (x y micro-second), 33, 18, 21185
Result (x y micro-second), 22, 16, 21198
Result (x y micro-second), 18, 41, 21335
Result (x y micro-second), 20, 34, 21340
Result (x y micro-second), 6, 58, 21386
Result (x y micro-second), 11, 29, 21295
Result (x y micro-second), 32, 16, 21191
Result (x y micro-second), 10, 13, 21284
Result (x y micro-second), 28, 34, 21231
Result (x y micro-second), 31, 19, 21177
Result (x y micro-second), 15, 36, 21528
Result (x y micro-second), 12, 25, 21266
Result (x y micro-second), 2, 53, 22084
Result (x y micro-second), 19, 1, 22014
Result (x y micro-second), 49, 6, 21234
Result (x y micro-second), 56, 11, 21278
Result (x y micro-second), 46, 12, 21245
Result (x y micro-second), 21, 28, 21237
Result (x y micro-second), 12, 3, 21545
Result (x y micro-second), 39, 11, 21189
Result (x y micro-second), 28, 15, 21202
Result (x y micro-second), 12, 29, 21245
Result (x y micro-second), 4, 30, 21517
Result (x y micro-second), 35, 21, 21273
Result (x y micro-second), 62, 16, 21260
Result (x y micro-second), 31, 8, 21190
Result (x y micro-second), 58, 3, 21154
Result (x y micro-second), 52, 5, 21188
Result (x y micro-second), 6, 51, 21395
Result (x y micro-second), 61, 15, 21276
Result (x y micro-second), 17, 50, 21389
Result (x y micro-second), 9, 3, 21761
Result (x y micro-second), 17, 37, 21255
Result (x y micro-second), 3, 25, 21770
Result (x y micro-second), 55, 10, 21242
Result (x y micro-second), 13, 50, 21265
Result (x y micro-second), 52, 18, 21238
Result (x y micro-second), 36, 17, 21190
Result (x y micro-second), 31, 13, 21239
Result (x y micro-second), 17, 7, 21227
Result (x y micro-second), 57, 16, 21245
Result (x y micro-second), 58, 1, 21409
Result (x y micro-second), 19, 11, 21215
Result (x y micro-second), 37, 8, 21230
Result (x y micro-second), 37, 14, 21234
Result (x y micro-second), 13, 8, 25665
Result (x y micro-second), 30, 9, 21169
Result (x y micro-second), 3, 13, 22269
Result (x y micro-second), 6, 60, 21396
Result (x y micro-second), 13, 24, 21247
Result (x y micro-second), 6, 50, 21420
Result (x y micro-second), 32, 3, 21168
Result (x y micro-second), 15, 26, 21253
Result (x y micro-second), 3, 4, 23036
Result (x y micro-second), 43, 9, 21213
Result (x y micro-second), 42, 15, 21184
Result (x y micro-second), 46, 18, 21234
Result (x y micro-second), 15, 49, 21354
Result (x y micro-second), 8, 54, 21326
Result (x y micro-second), 45, 7, 21172
Result (x y micro-second), 42, 16, 21151
Result (x y micro-second), 7, 63, 21357
Result (x y micro-second), 35, 5, 21193
Result (x y micro-second), 28, 22, 21229
Result (x y micro-second), 11, 27, 21302
Result (x y micro-second), 14, 24, 21223
Result (x y micro-second), 16, 12, 21200
Result (x y micro-second), 27, 37, 21285
Result (x y micro-second), 16, 59, 21274
Result (x y micro-second), 13, 23, 21251
Result (x y micro-second), 8, 35, 21262
Result (x y micro-second), 23, 9, 21210
Result (x y micro-second), 27, 13, 21248
Result (x y micro-second), 64, 11, 21281
Result (x y micro-second), 4, 57, 21538
Result (x y micro-second), 19, 19, 21210
Result (x y micro-second), 11, 49, 21321
Result (x y micro-second), 14, 36, 21265
Result (x y micro-second), 24, 25, 21192
Result (x y micro-second), 9, 46, 21434
Result (x y micro-second), 28, 6, 21217
Result (x y micro-second), 26, 37, 21259
Result (x y micro-second), 10, 32, 21245
Result (x y micro-second), 13, 20, 21290
Result (x y micro-second), 16, 26, 21204
Result (x y micro-second), 14, 14, 21237
Result (x y micro-second), 2, 23, 22541
Result (x y micro-second), 14, 38, 21251
Result (x y micro-second), 2, 42, 22107
Result (x y micro-second), 1, 3, 28774
Result (x y micro-second), 25, 34, 21270
Result (x y micro-second), 7, 39, 21397
Result (x y micro-second), 8, 39, 21313
Result (x y micro-second), 29, 20, 21203
Result (x y micro-second), 17, 57, 21312
Result (x y micro-second), 7, 9, 21349
Result (x y micro-second), 38, 7, 21170
Result (x y micro-second), 11, 63, 21574
Result (x y micro-second), 41, 4, 21183
Result (x y micro-second), 42, 13, 22873
Result (x y micro-second), 51, 8, 21602
Result (x y micro-second), 4, 44, 21593
Result (x y micro-second), 28, 9, 21235
Result (x y micro-second), 18, 23, 21234
Result (x y micro-second), 15, 31, 21238
Result (x y micro-second), 37, 2, 21259
Result (x y micro-second), 51, 13, 21178
Result (x y micro-second), 5, 34, 21528
Result (x y micro-second), 31, 32, 21301
Result (x y micro-second), 12, 33, 21273
Result (x y micro-second), 18, 39, 21355
Result (x y micro-second), 64, 8, 21207
Result (x y micro-second), 54, 17, 21391
Result (x y micro-second), 30, 14, 21226
Result (x y micro-second), 33, 16, 21267
Result (x y micro-second), 61, 7, 21204
Result (x y micro-second), 1, 42, 24555
Result (x y micro-second), 40, 12, 21217
Result (x y micro-second), 10, 58, 21365
Result (x y micro-second), 3, 24, 21769
Result (x y micro-second), 56, 2, 21192
Result (x y micro-second), 4, 35, 21559
Result (x y micro-second), 54, 14, 21283
Result (x y micro-second), 37, 16, 21243
Result (x y micro-second), 11, 33, 21293
Result (x y micro-second), 22, 11, 21223
Result (x y micro-second), 10, 62, 21346
Result (x y micro-second), 23, 19, 21231
Result (x y micro-second), 55, 9, 21186
Result (x y micro-second), 6, 43, 21410
Result (x y micro-second), 23, 12, 21287
Result (x y micro-second), 45, 8, 21228
Result (x y micro-second), 29, 17, 21199
Result (x y micro-second), 24, 39, 21327
Result (x y micro-second), 42, 7, 21320
Result (x y micro-second), 13, 32, 21266
Result (x y micro-second), 15, 18, 21269
Result (x y micro-second), 11, 9, 21290
