dimension, 998, 701
Result (x y micro-second), 16, 256, 62800
Result (x y micro-second), 1, 256, 3592
Result (x y micro-second), 128, 16, 1546
Result (x y micro-second), 8, 16, 2166
Result (x y micro-second), 512, 4, 1749
Result (x y micro-second), 512, 32, 1921
Result (x y micro-second), 4, 64, 2582
Result (x y micro-second), 1, 512, 3430
Result (x y micro-second), 256, 512, 1492
Result (x y micro-second), 64, 16, 2056
Result (x y micro-second), 512, 4, 1541
Result (x y micro-second), 64, 128, 1727
Result (x y micro-second), 128, 32, 1722
Result (x y micro-second), 8, 64, 2503
Result (x y micro-second), 512, 64, 1533
Result (x y micro-second), 1, 8, 4301
Result (x y micro-second), 16, 4, 2224
Result (x y micro-second), 4, 16, 2536
Result (x y micro-second), 256, 128, 1968
Result (x y micro-second), 256, 512, 1802
Result (x y micro-second), 4, 512, 1533
Result (x y micro-second), 16, 16, 2102
Result (x y micro-second), 32, 64, 1476
Result (x y micro-second), 8, 16, 2127
Result (x y micro-second), 32, 2, 2111
Result (x y micro-second), 256, 16, 1668
Result (x y micro-second), 8, 16, 2451
Result (x y micro-second), 8, 8, 2444
Result (x y micro-second), 2, 256, 2697
Result (x y micro-second), 512, 2, 2115
Result (x y micro-second), 16, 512, 1477
Result (x y micro-second), 16, 2, 2334
Result (x y micro-second), 8, 256, 1769
Result (x y micro-second), 32, 2, 2263
Result (x y micro-second), 64, 32, 1725
Result (x y micro-second), 1, 256, 3483
Result (x y micro-second), 16, 16, 2109
Result (x y micro-second), 4, 4, 2818
Result (x y micro-second), 4, 128, 2387
Result (x y micro-second), 256, 128, 1960
Result (x y micro-second), 512, 256, 1719
Result (x y micro-second), 16, 4, 2158
Result (x y micro-second), 4, 128, 2337
Result (x y micro-second), 128, 64, 1489
Result (x y micro-second), 256, 64, 1479
Result (x y micro-second), 512, 4, 1504
Result (x y micro-second), 128, 8, 2238
Result (x y micro-second), 8, 1, 3839
Result (x y micro-second), 16, 1, 2881
Result (x y micro-second), 2, 1, 8052
Result (x y micro-second), 32, 2, 2628
Result (x y micro-second), 1, 4, 5873
Result (x y micro-second), 128, 16, 1562
Result (x y micro-second), 16, 512, 1488
Result (x y micro-second), 8, 4, 2580
Result (x y micro-second), 512, 4, 1762
Result (x y micro-second), 1, 8, 4538
Result (x y micro-second), 128, 16, 1619
Result (x y micro-second), 4, 16, 2344
Result (x y micro-second), 4, 1, 5033
Result (x y micro-second), 8, 2, 3151
Result (x y micro-second), 8, 1, 3612
Result (x y micro-second), 32, 256, 1532
Result (x y micro-second), 8, 512, 1521
Result (x y micro-second), 512, 16, 1463
Result (x y micro-second), 2, 16, 3030
Result (x y micro-second), 256, 8, 1973
Result (x y micro-second), 64, 128, 1757
Result (x y micro-second), 128, 4, 2116
Result (x y micro-second), 512, 1, 2062
Result (x y micro-second), 16, 256, 1481
Result (x y micro-second), 32, 64, 1485
Result (x y micro-second), 8, 16, 2136
Result (x y micro-second), 2, 32, 2776
Result (x y micro-second), 1, 8, 4808
Result (x y micro-second), 64, 8, 2202
Result (x y micro-second), 32, 2, 2113
Result (x y micro-second), 64, 4, 2011
Result (x y micro-second), 512, 512, 1499
Result (x y micro-second), 8, 256, 1767
Result (x y micro-second), 32, 64, 1859
Result (x y micro-second), 32, 32, 2245
Result (x y micro-second), 512, 8, 1513
Result (x y micro-second), 8, 256, 1494
Result (x y micro-second), 64, 4, 2042
Result (x y micro-second), 1, 4, 5686
Result (x y micro-second), 4, 128, 2663
Result (x y micro-second), 512, 32, 1743
Result (x y micro-second), 2, 4, 3917
Result (x y micro-second), 1, 16, 3834
Result (x y micro-second), 128, 256, 1553
Result (x y micro-second), 512, 16, 1731
Result (x y micro-second), 512, 128, 1964
Result (x y micro-second), 64, 2, 2138
Result (x y micro-second), 64, 2, 2037
Result (x y micro-second), 512, 16, 1461
Result (x y micro-second), 512, 64, 1491
Result (x y micro-second), 512, 256, 1468
Result (x y micro-second), 1, 4, 5722
Result (x y micro-second), 256, 64, 1927
Result (x y micro-second), 64, 2, 2132
Result (x y micro-second), 256, 1, 2049
Result (x y micro-second), 256, 512, 1481
Result (x y micro-second), 32, 4, 2040
Result (x y micro-second), 2, 256, 2770
Result (x y micro-second), 64, 512, 2006
Result (x y micro-second), 256, 128, 1696
Result (x y micro-second), 8, 1, 3432
Result (x y micro-second), 32, 4, 2009
Result (x y micro-second), 2, 8, 3092
Result (x y micro-second), 32, 4, 2097
Result (x y micro-second), 128, 32, 1913
Result (x y micro-second), 512, 128, 1727
Result (x y micro-second), 32, 512, 1575
Result (x y micro-second), 2, 16, 2840
Result (x y micro-second), 128, 1, 2022
Result (x y micro-second), 128, 128, 1467
Result (x y micro-second), 1, 32, 3682
Result (x y micro-second), 128, 256, 2019
Result (x y micro-second), 128, 256, 1719
Result (x y micro-second), 256, 32, 1504
Result (x y micro-second), 512, 256, 1491
Result (x y micro-second), 32, 32, 2026
Result (x y micro-second), 256, 1, 1996
Result (x y micro-second), 512, 512, 1487
Result (x y micro-second), 8, 16, 2238
Result (x y micro-second), 4, 8, 2632
Result (x y micro-second), 512, 8, 1735
