dimensions, 546, 685, 765
Result (x y micro-second), 2, 1024, 40703
Result (x y micro-second), 16, 8, 32291
Result (x y micro-second), 1, 4, 484015
Result (x y micro-second), 128, 8, 29580
Result (x y micro-second), 32, 32, 30148
Result (x y micro-second), 1024, 1024, 1346
Result (x y micro-second), 4, 256, 79297
Result (x y micro-second), 512, 32, 1509
Result (x y micro-second), 32, 1, 61720
Result (x y micro-second), 16, 64, 34081
Result (x y micro-second), 32, 256, 1531
Result (x y micro-second), 16, 16, 32678
Result (x y micro-second), 32, 8, 27993
Result (x y micro-second), 1, 1024, 259661
Result (x y micro-second), 8, 256, 1382
Result (x y micro-second), 4, 4, 130882
Result (x y micro-second), 128, 64, 1380
Result (x y micro-second), 16, 64, 33881
Result (x y micro-second), 128, 512, 1417
Result (x y micro-second), 512, 1024, 1285
Result (x y micro-second), 16, 128, 1456
Result (x y micro-second), 512, 64, 1202
Result (x y micro-second), 16, 128, 1087
Result (x y micro-second), 1024, 128, 1071
Result (x y micro-second), 128, 8, 28791
Result (x y micro-second), 8, 4, 67384
Result (x y micro-second), 512, 128, 1387
Result (x y micro-second), 16, 8, 31735
Result (x y micro-second), 1024, 4, 1379
Result (x y micro-second), 4, 1, 427653
Result (x y micro-second), 256, 4, 28979
Result (x y micro-second), 8, 4, 67365
Result (x y micro-second), 128, 32, 1616
Result (x y micro-second), 256, 8, 1218
Result (x y micro-second), 8, 32, 46295
Result (x y micro-second), 4, 128, 74606
Result (x y micro-second), 2, 1, 838377
Result (x y micro-second), 2, 8, 183937
Result (x y micro-second), 256, 1, 31961
Result (x y micro-second), 1024, 16, 1563
Result (x y micro-second), 8, 4, 67324
Result (x y micro-second), 16, 1024, 1381
Result (x y micro-second), 1024, 64, 1436
Result (x y micro-second), 4, 128, 74499
Result (x y micro-second), 256, 8, 1385
Result (x y micro-second), 256, 32, 1113
Result (x y micro-second), 32, 512, 1091
Result (x y micro-second), 64, 2, 29657
Result (x y micro-second), 8, 8, 42389
Result (x y micro-second), 4, 64, 74771
Result (x y micro-second), 256, 4, 28973
Result (x y micro-second), 2, 128, 134961
Result (x y micro-second), 8, 4, 67367
Result (x y micro-second), 1024, 512, 1397
Result (x y micro-second), 1, 1024, 271566
Result (x y micro-second), 1, 2, 792483
Result (x y micro-second), 1024, 32, 1407
Result (x y micro-second), 1, 512, 449761
Result (x y micro-second), 1, 4, 483735
Result (x y micro-second), 64, 128, 1439
Result (x y micro-second), 8, 2, 119451
Result (x y micro-second), 1024, 512, 1378
Result (x y micro-second), 1024, 32, 1128
Result (x y micro-second), 256, 4, 28734
Result (x y micro-second), 128, 512, 1358
Result (x y micro-second), 64, 16, 29054
Result (x y micro-second), 1, 128, 266204
Result (x y micro-second), 2, 2, 443670
Result (x y micro-second), 512, 512, 1402
Result (x y micro-second), 1024, 128, 1084
Result (x y micro-second), 64, 1, 31964
Result (x y micro-second), 256, 64, 1427
Result (x y micro-second), 8, 256, 1264
Result (x y micro-second), 4, 2, 226615
Result (x y micro-second), 512, 64, 1362
Result (x y micro-second), 256, 2, 28835
Result (x y micro-second), 128, 64, 1366
Result (x y micro-second), 256, 64, 1117
Result (x y micro-second), 512, 16, 1067
Result (x y micro-second), 64, 32, 1070
Result (x y micro-second), 4, 4, 130201
Result (x y micro-second), 256, 4, 29155
Result (x y micro-second), 512, 128, 1541
Result (x y micro-second), 4, 64, 74678
Result (x y micro-second), 32, 2, 32486
Result (x y micro-second), 4, 2, 226776
Result (x y micro-second), 2, 1, 838484
Result (x y micro-second), 128, 4, 28840
Result (x y micro-second), 64, 128, 1363
Result (x y micro-second), 16, 16, 32212
Result (x y micro-second), 8, 1024, 1554
Result (x y micro-second), 64, 1024, 1296
Result (x y micro-second), 8, 2, 119536
Result (x y micro-second), 16, 4, 34056
Result (x y micro-second), 32, 1024, 1368
Result (x y micro-second), 32, 32, 29546
Result (x y micro-second), 1024, 4, 1352
Result (x y micro-second), 64, 128, 1105
Result (x y micro-second), 128, 256, 1068
Result (x y micro-second), 4, 4, 130186
Result (x y micro-second), 512, 4, 1428
Result (x y micro-second), 2, 512, 152760
Result (x y micro-second), 1, 64, 256645
Result (x y micro-second), 1, 32, 264742
Result (x y micro-second), 4, 16, 72622
Result (x y micro-second), 512, 32, 1373
Result (x y micro-second), 4, 4, 130316
Result (x y micro-second), 8, 32, 46665
Result (x y micro-second), 16, 128, 1340
Result (x y micro-second), 128, 128, 1255
Result (x y micro-second), 16, 4, 33851
Result (x y micro-second), 4, 16, 72622
Result (x y micro-second), 4, 256, 79232
Result (x y micro-second), 1, 1024, 252062
Result (x y micro-second), 32, 1, 61622
Result (x y micro-second), 1024, 2, 1369
Result (x y micro-second), 1, 1, 1489837
Result (x y micro-second), 1024, 1024, 1389
Result (x y micro-second), 16, 1, 118624
Result (x y micro-second), 16, 64, 33749
Result (x y micro-second), 4, 1, 427755
Result (x y micro-second), 1024, 16, 1393
Result (x y micro-second), 8, 4, 67397
Result (x y micro-second), 256, 32, 1518
Result (x y micro-second), 512, 16, 1253
