Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",20741979,621472,,,,,,,,,,4169764,6709496163
"Memcpy HtoD [sync]",21491035,541120,,,,,,,,,,4169764,7705802779
"matrixMulKernel(matrix, matrix, matrix)",22069915,134227456,18,64,1,57,16,1,21,0,0,,
"Memcpy DtoH [sync]",156322011,1028672,,,,,,,,,,4169764,4053540876
"Memcpy HtoD [sync]",158167171,504787,,,,,,,,,,4169764,8260442523
"Memcpy HtoD [sync]",158782132,498803,,,,,,,,,,4169764,8359540740
"matrixMulKernel(matrix, matrix, matrix)",159299047,262482569,256,64,1,4,16,1,21,0,0,,
"Memcpy DtoH [sync]",421805039,680047,,,,,,,,,,4169764,6131582081
"Memcpy HtoD [sync]",423185293,498003,,,,,,,,,,4169764,8372969640
"Memcpy HtoD [sync]",423792701,499924,,,,,,,,,,4169764,8340795800
"matrixMulKernel(matrix, matrix, matrix)",424308369,255264093,73,511,1,14,2,1,21,0,0,,
"Memcpy DtoH [sync]",679595437,545715,,,,,,,,,,4169764,7640918794
"Memcpy HtoD [sync]",680834926,498292,,,,,,,,,,4169764,8368113475
"Memcpy HtoD [sync]",681442111,500308,,,,,,,,,,4169764,8334394013
"matrixMulKernel(matrix, matrix, matrix)",681957778,100528403,32,35,1,32,30,1,21,0,0,,
"Memcpy DtoH [sync]",782508581,548466,,,,,,,,,,4169764,7602593415
"Memcpy HtoD [sync]",783727398,497012,,,,,,,,,,4169764,8389664635
"Memcpy HtoD [sync]",784333047,498996,,,,,,,,,,4169764,8356307465
"matrixMulKernel(matrix, matrix, matrix)",784856362,184268105,103,79,1,10,13,1,21,0,0,,
"Memcpy DtoH [sync]",969146995,539890,,,,,,,,,,4169764,7723358461
"Memcpy HtoD [sync]",970364628,501684,,,,,,,,,,4169764,8311534750
"Memcpy HtoD [sync]",970975589,510675,,,,,,,,,,4169764,8165200959
"matrixMulKernel(matrix, matrix, matrix)",971505144,115842517,64,31,1,16,33,1,21,0,0,,
"Memcpy DtoH [sync]",1087368940,544371,,,,,,,,,,4169764,7659783493
"Memcpy HtoD [sync]",1088562926,493780,,,,,,,,,,4169764,8444578557
"Memcpy HtoD [sync]",1089164639,500468,,,,,,,,,,4169764,8331729501
"matrixMulKernel(matrix, matrix, matrix)",1089683698,548690978,341,205,1,3,5,1,21,0,0,,
"Memcpy DtoH [sync]",1638413523,566322,,,,,,,,,,4169764,7362885425
"Memcpy HtoD [sync]",1639681396,544178,,,,,,,,,,4169764,7662500137
"Memcpy HtoD [sync]",1640342627,524819,,,,,,,,,,4169764,7945146802
"matrixMulKernel(matrix, matrix, matrix)",1640925333,134211978,21,57,1,49,18,1,21,0,0,,
"Memcpy DtoH [sync]",1775157311,543186,,,,,,,,,,4169764,7676493871
"Memcpy HtoD [sync]",1776319810,492019,,,,,,,,,,4169764,8474802802
"Memcpy HtoD [sync]",1776919891,497363,,,,,,,,,,4169764,8383743865
"matrixMulKernel(matrix, matrix, matrix)",1777432454,133151109,18,256,1,59,4,1,21,0,0,,
"Memcpy DtoH [sync]",1910604650,542291,,,,,,,,,,4169764,7689163198
"Memcpy HtoD [sync]",1911798444,498164,,,,,,,,,,4169764,8370263607
"Memcpy HtoD [sync]",1912413533,497588,,,,,,,,,,4169764,8379952892
"matrixMulKernel(matrix, matrix, matrix)",1912926000,143360806,57,21,1,18,51,1,21,0,0,,
"Memcpy DtoH [sync]",2056306742,553938,,,,,,,,,,4169764,7527492246
"Memcpy HtoD [sync]",2057525431,504308,,,,,,,,,,4169764,8268288426
"Memcpy HtoD [sync]",2058145864,504403,,,,,,,,,,4169764,8266731165
"matrixMulKernel(matrix, matrix, matrix)",2058699066,164873293,79,103,1,13,10,1,21,0,0,,
"Memcpy DtoH [sync]",2223592327,545170,,,,,,,,,,4169764,7648557330
"Memcpy HtoD [sync]",2224792361,494611,,,,,,,,,,4169764,8430390751
"Memcpy HtoD [sync]",2225395290,498355,,,,,,,,,,4169764,8367055612
"matrixMulKernel(matrix, matrix, matrix)",2225907629,549984194,511,64,1,2,16,1,21,0,0,,
"Memcpy DtoH [sync]",2775918478,550066,,,,,,,,,,4169764,7580479433
"Memcpy HtoD [sync]",2777127888,524595,,,,,,,,,,4169764,7948539349
"Memcpy HtoD [sync]",2777766400,527859,,,,,,,,,,4169764,7899389799
"matrixMulKernel(matrix, matrix, matrix)",2778313586,133369280,41,64,1,25,16,1,21,0,0,,
"Memcpy DtoH [sync]",2911705105,542931,,,,,,,,,,4169764,7680099312
"Memcpy HtoD [sync]",2912925907,500787,,,,,,,,,,4169764,8326422211
"Memcpy HtoD [sync]",2913537187,505972,,,,,,,,,,4169764,8241096345
"matrixMulKernel(matrix, matrix, matrix)",2914063606,147912213,61,19,1,17,56,1,21,0,0,,
"Memcpy DtoH [sync]",3061997386,544819,,,,,,,,,,4169764,7653484918
"Memcpy HtoD [sync]",3063186604,497076,,,,,,,,,,4169764,8388584441
"Memcpy HtoD [sync]",3063792285,510100,,,,,,,,,,4169764,8174405018
"matrixMulKernel(matrix, matrix, matrix)",3064323088,133183812,23,128,1,45,8,1,21,0,0,,
"Memcpy DtoH [sync]",3197528692,545618,,,,,,,,,,4169764,7642277197
"Memcpy HtoD [sync]",3198722742,496563,,,,,,,,,,4169764,8397250701
"Memcpy HtoD [sync]",3199328647,502931,,,,,,,,,,4169764,8290926588
