dimension, 1021, 4093
Result (x y micro-second), 25, 5, 293733
Result (x y micro-second), 57, 7, 9279
Result (x y micro-second), 23, 8, 9195
Result (x y micro-second), 27, 11, 9218
Result (x y micro-second), 37, 26, 9317
Result (x y micro-second), 12, 60, 10236
Result (x y micro-second), 28, 13, 9223
Result (x y micro-second), 5, 10, 10913
Result (x y micro-second), 15, 41, 9510
Result (x y micro-second), 62, 15, 9306
Result (x y micro-second), 1, 40, 22701
Result (x y micro-second), 11, 25, 9544
Result (x y micro-second), 44, 4, 9125
Result (x y micro-second), 31, 3, 9099
Result (x y micro-second), 11, 57, 9799
Result (x y micro-second), 13, 8, 9400
Result (x y micro-second), 44, 22, 9298
Result (x y micro-second), 43, 8, 9293
Result (x y micro-second), 17, 29, 9451
Result (x y micro-second), 5, 25, 10316
Result (x y micro-second), 14, 3, 10510
Result (x y micro-second), 39, 14, 9297
Result (x y micro-second), 38, 21, 9469
Result (x y micro-second), 53, 5, 9113
Result (x y micro-second), 7, 48, 10493
Result (x y micro-second), 20, 39, 9629
Result (x y micro-second), 6, 30, 10207
Result (x y micro-second), 7, 23, 10022
Result (x y micro-second), 6, 3, 13254
Result (x y micro-second), 16, 41, 9265
Result (x y micro-second), 16, 54, 9538
Result (x y micro-second), 37, 10, 9123
Result (x y micro-second), 60, 17, 9287
Result (x y micro-second), 8, 56, 10039
Result (x y micro-second), 40, 14, 9300
Result (x y micro-second), 21, 46, 9473
Result (x y micro-second), 36, 14, 9183
Result (x y micro-second), 27, 25, 9798
Result (x y micro-second), 11, 32, 9816
Result (x y micro-second), 27, 11, 9202
Result (x y micro-second), 12, 42, 9582
Result (x y micro-second), 4, 8, 11992
Result (x y micro-second), 12, 58, 10358
Result (x y micro-second), 3, 24, 11668
Result (x y micro-second), 64, 10, 9055
Result (x y micro-second), 15, 40, 9627
Result (x y micro-second), 23, 35, 9570
Result (x y micro-second), 15, 44, 9609
Result (x y micro-second), 5, 26, 10400
Result (x y micro-second), 2, 51, 12628
Result (x y micro-second), 9, 42, 9956
Result (x y micro-second), 1, 20, 19198
Result (x y micro-second), 35, 29, 9325
Result (x y micro-second), 3, 37, 11349
Result (x y micro-second), 52, 2, 9055
Result (x y micro-second), 46, 3, 9035
