dimension, 2039, 2039
Result (x y micro-second), 61, 4, 155666
Result (x y micro-second), 7, 28, 9893
Result (x y micro-second), 39, 14, 9311
Result (x y micro-second), 5, 58, 10436
Result (x y micro-second), 53, 11, 9104
Result (x y micro-second), 4, 58, 10465
Result (x y micro-second), 23, 39, 9478
Result (x y micro-second), 56, 13, 9493
Result (x y micro-second), 13, 36, 9529
Result (x y micro-second), 6, 9, 10440
Result (x y micro-second), 2, 45, 12491
Result (x y micro-second), 6, 63, 10104
Result (x y micro-second), 9, 40, 9666
Result (x y micro-second), 52, 8, 9258
Result (x y micro-second), 19, 30, 9305
Result (x y micro-second), 32, 15, 8906
Result (x y micro-second), 50, 4, 8960
Result (x y micro-second), 5, 26, 10285
Result (x y micro-second), 5, 36, 10410
Result (x y micro-second), 30, 6, 8959
Result (x y micro-second), 17, 17, 9272
Result (x y micro-second), 13, 36, 9454
Result (x y micro-second), 21, 2, 10099
Result (x y micro-second), 51, 6, 8956
Result (x y micro-second), 4, 21, 10441
Result (x y micro-second), 29, 8, 8989
Result (x y micro-second), 7, 51, 10035
Result (x y micro-second), 29, 3, 9204
Result (x y micro-second), 8, 44, 9740
Result (x y micro-second), 11, 21, 9369
Result (x y micro-second), 15, 57, 9636
Result (x y micro-second), 3, 35, 11231
Result (x y micro-second), 14, 44, 9385
Result (x y micro-second), 46, 8, 9000
Result (x y micro-second), 29, 32, 9261
Result (x y micro-second), 51, 16, 9168
Result (x y micro-second), 6, 54, 10311
Result (x y micro-second), 27, 3, 9167
Result (x y micro-second), 4, 56, 10433
Result (x y micro-second), 6, 31, 9938
Result (x y micro-second), 49, 13, 8998
Result (x y micro-second), 10, 59, 9741
Result (x y micro-second), 33, 25, 9323
Result (x y micro-second), 11, 9, 9356
Result (x y micro-second), 16, 52, 9345
Result (x y micro-second), 24, 2, 9819
Result (x y micro-second), 3, 29, 11269
Result (x y micro-second), 15, 59, 9545
Result (x y micro-second), 7, 34, 9792
Result (x y micro-second), 10, 53, 10050
Result (x y micro-second), 24, 21, 9009
Result (x y micro-second), 13, 12, 9228
Result (x y micro-second), 13, 37, 9338
Result (x y micro-second), 64, 3, 8768
Result (x y micro-second), 11, 61, 9592
Result (x y micro-second), 53, 2, 9061
Result (x y micro-second), 20, 42, 9467
Result (x y micro-second), 36, 20, 9316
Result (x y micro-second), 18, 47, 9453
Result (x y micro-second), 7, 27, 9809
Result (x y micro-second), 13, 59, 10044
Result (x y micro-second), 19, 29, 9330
Result (x y micro-second), 22, 25, 9556
Result (x y micro-second), 15, 57, 9742
Result (x y micro-second), 10, 52, 10067
Result (x y micro-second), 14, 17, 9175
Result (x y micro-second), 15, 48, 10021
Result (x y micro-second), 14, 59, 9669
Result (x y micro-second), 41, 21, 9227
Result (x y micro-second), 23, 10, 9040
Result (x y micro-second), 15, 52, 9823
Result (x y micro-second), 12, 4, 9959
Result (x y micro-second), 13, 64, 9732
Result (x y micro-second), 24, 30, 9509
Result (x y micro-second), 8, 3, 11822
Result (x y micro-second), 3, 52, 11244
Result (x y micro-second), 17, 37, 9260
Result (x y micro-second), 16, 40, 9100
Result (x y micro-second), 2, 24, 13929
Result (x y micro-second), 16, 16, 8984
Result (x y micro-second), 7, 18, 9686
Result (x y micro-second), 3, 41, 11218
Result (x y micro-second), 10, 25, 9397
Result (x y micro-second), 22, 5, 9091
Result (x y micro-second), 10, 57, 9755
Result (x y micro-second), 27, 16, 9201
Result (x y micro-second), 17, 59, 9396
Result (x y micro-second), 64, 1, 9289
Result (x y micro-second), 24, 16, 9031
Result (x y micro-second), 62, 14, 9098
